PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id
KUL,EAC,ACA6,B,amohdol,,,,,,20200204,,,,,,,,,,,,14:00:00,,,2.7046527,101.9167814,,DEPAR,,,,573arrvd
KUL,EAC,ACA6,B,amohdol,,ADVANCE MICRO SOLUTIONS SDN BHD,ADVANCE MICRO SOLUTIONS SDN BHD,43700,BERANANG,20200204,P,,REGULAR,WPX,P,2.0,0.0,11.0,12.0,74.32,,14:18:55,15:30,17:30,2.8947778,101.8692591,6904696912,PU,PU,5.0,,467
KUL,EAC,ACA6,B,amohdol,,GOLDEN CORRUGATED BOX M SDN BHD,GOLDEN CORRUGATED BOX M SDN BHD,43700,BERANANG,20200204,D,NORMAL,,DOX,D,1.0,0.0,0.0,1.0,0.04,4/2/2020 9:50,14:27:36,,23:59,2.9003049,101.8659839,9629797085,OK,DL,10.0,,459
KUL,EAC,ACA6,B,amohdol,,SMK ELECTRONICS MALAYSIA SDN BHD.,SMK ELECTRONICS MALAYSIA SDN BHD.,43700,BERANANG,20200204,D,NORMAL,,WPX,P,1.0,0.0,10.0,10.0,59.45,4/2/2020 9:50,14:38:08,,23:59,2.8936158,101.8616932,8153344651,OK,DL,11.0,,461
KUL,EAC,ACA6,B,amohdol,,FBK MANUFACTURING MALAYSIA SDN BHD,FBK MANUFACTURING MALAYSIA SDN BHD,43700,BERANANG,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.15,,14:47:25,15:00,17:30,2.8950803,101.8639874,6904626805,PU,PU,2.0,,460
KUL,EAC,ACA6,B,amohdol,,ORGABIO MANUFACTURING SDN BHD,ORGABIO MANUFACTURING SDN BHD,43700,BERANANG,20200204,D,NORMAL,,WPX,P,1.0,0.0,0.0,1.0,1.01,4/2/2020 9:05,14:58:16,,23:59,2.9100754,101.8565143,6224222874,OK,DL,8.0,,457
KUL,EAC,ACA6,B,amohdol,,GOLDREIGN PLASTICS M SDN BHD,GOLDREIGN PLASTICS M SDN BHD,43700,BERANANG,20200204,P,,REGULAR,WPX,P,1.0,0.0,3.0,3.0,21.16,,15:05:07,9:13,17:00,2.905602,101.8583775,2555324052,PU,PU,1.0,,456
KUL,EAC,ACA6,B,amohdol,,SIN TEE ENTERPRISE,SIN TEE ENTERPRISE,43700,BERANANG,20200204,D,NORMAL,,DOM,N,1.0,0.0,0.0,1.0,0.09,4/2/2020 9:05,15:19:04,,23:59,2.9163196,101.8853533,1261333010,OK,DL,9.0,,458
KUL,EAC,ACA6,B,amohdol,,LB ALUMINIUM BERHAD,LB ALUMINIUM BERHAD,43700,SELANGOR,20200204,P,,REGULAR,,,0.0,0.0,0.0,0.0,,,15:34:06,12:00,17:00,2.8926032000000004,101.8659524,003178 - 550219622,FP,FP,1.0,,464
KUL,EAC,ACA6,B,amohdol,,LB ALUMINIUM BERHAD,LB ALUMINIUM BERHAD,43700,BERANANG,20200204,P,,REGULAR,WPX,P,1.0,0.0,1.0,1.0,2.52,,15:39:06,12:00,17:00,2.8925174,101.8659127,6904599214,PU,PU,3.0,,463
KUL,EAC,ACA6,B,amohdol,,FORMOSA SHYEN HORNG METAL SDN BHD,FORMOSA SHYEN HORNG METAL SDN BHD,43700,BERANANG,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.18,,15:45:28,9:45,16:30,2.8918505000000003,101.8650018,2202093891,PU,PU,4.0,,465
KUL,EAC,ACA6,B,amohdol,,SUPERB ALUMINIUM INDUSTRIES SDN BHD,SUPERB ALUMINIUM INDUSTRIES SDN BHD,43700,BERANANG,20200204,D,NORMAL,,DOX,D,1.0,0.0,0.0,1.0,0.3,4/2/2020 9:50,15:52:55,,23:59,2.8926562,101.8603187,2619792910,OK,DL,12.0,,462
KUL,EAC,ACA6,B,amohdol,,LINKK BUSWAY SYSTEMS  M  SDN,LINKK BUSWAY SYSTEMS  M  SDN,43700,BERANANG,20200204,D,NORMAL,,DOX,D,1.0,0.0,0.0,1.0,0.17,4/2/2020 9:50,15:59:52,,23:59,2.8887472,101.8583674,2268404471,OK,DL,13.0,,466
KUL,EAC,ACA6,B,amohdol,,,,,,20200204,,,,,,,,,,,,16:25:28,,,2.7046527,101.9167814,,ARRVD,,,,573arrvd
