AR dtm,Act Base,Act Ckpt Code,Act Dt,Act Tm,City,Closed,Courier Type,Courier id,Customer Name,Delivery Type,MarkerColor,Open,PUD Cycle,PUD Fac,PUD Rte,PUD Svc Area,Pallets Pcs,Parcel Pcs,Pickup Type,Prod Code,Prod Grp,PuD Type,ShpCnt,Stop Code,Street,Total Pcs,Weight,awb_booking,batchID,id,lat,lgtd,zip
,,ARRVD,20200204.0,8:45:00,,23:59,DHL Courier,mbakri,,,,,B,EAC,ACC3,KUL,0.0,0.0,,,,,0.0,,,,,,20200204-m-622,622,2.7047607000000005,101.9166797,
,P,PU,20200204.0,8:51:55,SEREMBAN,17:00,DHL Courier,mbakri,SANGSIN ENERTECH SDN BHD,,,16:00,B,EAC,ACC3,KUL,0.0,1.0,REGULAR,J,JBX,PU,1.0,3.0,"LOT 18017, 18018 & 18039,
SRI SENAWANG LIGHT INDUSTRIAL AREA 70 N.SEMB
SEREMBAN",1.0,22.74,4886625973,20200204-m-622,712,2.6769898,101.9831221,71450
4/2/2020 9:50,D,OK,20200204.0,8:59:22,SEREMBAN,23:59,DHL Courier,mbakri,BOSTIK FINDLEY MALAYSIA SDN BHD,NORMAL,,,B,EAC,ACC3,KUL,0.0,0.0,,D,DOX,DL,2.0,22.0,"LOT 112 & 113 KAWASAN PERINDUSTRIAN
SENAWANG 70450 SERMBAN NEGERI
SEMBILAN DARUL KHUSUS",2.0,0.6,9629766274,20200204-m-622,751,2.681373,101.9802909,70450
4/2/2020 9:50,D,OK,20200204.0,9:04:37,SEREMBAN,23:59,DHL Courier,mbakri,RUBBERCARE PROTECTION PRODUCTS SDN.,NORMAL,,,B,EAC,ACC3,KUL,0.0,0.0,,D,DOX,DL,1.0,23.0,"LOT 110, LORONG SENAWANG 4/3, OFF
JALAN SENAWANG EMPAT, SENAWANG 70 NEGERI SEM
SEREMBAN",1.0,0.08,2619802651,20200204-m-622,752,2.681723,101.97987059999998,70450
4/2/2020 13:13,D,OK,20200204.0,9:10:37,SEREMBAN,23:59,DHL Courier,mbakri,PK AGRO-INDUSTRIAL PRODUCTS M SDN,NORMAL,,,B,EAC,ACC3,KUL,1.0,0.0,,P,WPX,DL,1.0,24.0,"PT98SENAWANG INDUSTRIAL ESTATE
SEREMBAN 70
SEREMBAN",1.0,31.1,2619713073,20200204-m-622,753,2.6839651,101.9796183,70450
4/2/2020 9:50,D,OK,20200204.0,9:15:56,SEREMBAN,23:59,DHL Courier,mbakri,UNITED BOLT AND NUT SDN BHD,NORMAL,,,B,EAC,ACC3,KUL,0.0,0.0,,D,DOX,DL,1.0,21.0,"LOT 70, SENAWANG INDUSTRIAL ESTATE
70450 SEREMBAN N.S., MALAYSIA 70 N.SEMBILAN
SEREMBAN",1.0,0.17,2283284592,20200204-m-622,750,2.6832021,101.9790999,70450
4/2/2020 9:50,D,OK,20200204.0,9:21:18,SEREMBAN,23:59,DHL Courier,mbakri,PK AGRO INDUSTRIAL PRODUCTSM SDN.,NORMAL,,,B,EAC,ACC3,KUL,0.0,0.0,,D,DOX,DL,1.0,20.0,"PT 98,
SENAWANG INDUSTRIAL ESTATE, 70
SEREMBAN",1.0,0.07,2283364672,20200204-m-622,749,2.68384,101.9796994,70450
4/2/2020 9:50,D,OK,20200204.0,9:27:00,SEREMBAN,23:59,DHL Courier,mbakri,AOSTA STONE SDN BHD,NORMAL,,,B,EAC,ACC3,KUL,0.0,0.0,,P,WPX,DL,1.0,19.0,"LOT 96-99 JALAN SENAWANG 4/2,
SENAWANG IND AREA
SERMBAN NEGERI SEMBILAN",1.0,0.83,6833944972,20200204-m-622,748,2.6824169,101.981722,70450
4/2/2020 9:50,D,OK,20200204.0,9:33:50,SEREMBAN,23:59,DHL Courier,mbakri,UG GLOBAL RESOURCES SDN BHD.,NORMAL,,,B,EAC,ACC3,KUL,0.0,0.0,,D,DOX,DL,1.0,18.0,"LOT 62 & 63, LORONG SENAWANG 3/2,
SEREMBAN 70
SEREMBAN",1.0,0.12,4913526424,20200204-m-622,747,2.6859215,101.9846391,70450
4/2/2020 9:50,D,OK,20200204.0,9:41:52,SEREMBAN,23:59,DHL Courier,mbakri,SHIN HEUNG ELECTRONICS MALAYSIA SDN,NORMAL,,,B,EAC,ACC3,KUL,0.0,0.0,,D,DOX,DL,1.0,1.0,"LOT. 11045&11044, TUANKU JAAFAR
INDUSTRIAL ESTATE 71450 SG. GADAUT 70 N.SEMB
SEREMBAN",1.0,0.1,3464414612,20200204-m-622,698,2.6780926,101.9929772,71450
