AR dtm,Act Base,Act Ckpt Code,Act Dt,Act Tm,City,Closed,Courier Type,Courier id,Customer Name,Delivery Type,MarkerColor,Open,PUD Cycle,PUD Fac,PUD Rte,PUD Svc Area,Pallets Pcs,Parcel Pcs,Pickup Type,Prod Code,Prod Grp,PuD Type,ShpCnt,Stop Code,Street,Total Pcs,Weight,awb_booking,batchID,id,lat,lgtd,zip
,,ARRVD,20200204.0,8:45:00,,23:59,DHL Courier,moazrul,,,,,B,EAC,ACA4,KUL,0.0,0.0,,,,,0.0,,,,,,20200204-m-530,530,2.704775,101.9168717,
4/2/2020 9:05,D,OK,20200204.0,9:12:22,BANDAR ENSTEK,23:59,DHL Courier,moazrul,PURECIRCLE SDN BHD 578803-K,NORMAL,,,B,EAC,ACA4,KUL,0.0,1.0,,P,WPX,DL,1.0,1.0,"PT 23419, LENGKUK TEKNOLOGI
TECHPARK@ENSTEK
NEGERI SEMBILAN",1.0,0.88,3225528106,20200204-m-530,473,2.7379765,101.7645877,71760
4/2/2020 9:50,D,OK,20200204.0,9:21:10,BANDAR ENSTEK,23:59,DHL Courier,moazrul,JOWAT MANUFACTURING SEA SDN. BHD.,NORMAL,,,B,EAC,ACA4,KUL,0.0,0.0,,D,DOX,DL,1.0,2.0,"COMPANY NO.688312-T
NO. 25, LENGKUK TEKNOLOGI 2
TECHPARK@ENSTEK",1.0,0.3,9607753783,20200204-m-530,474,2.7324557,101.7648662,71760
4/2/2020 9:05,D,OK,20200204.0,9:31:08,BANDAR ENSTEK,23:59,DHL Courier,moazrul,HON CHUAN MALAYSIA SDN BHD,NORMAL,,,B,EAC,ACA4,KUL,0.0,0.0,,N,DOM,DL,2.0,3.0,"PT.29469, LENGKOK TEKNOLOGI 3,
KAWASAN PERINDUSTRIAN TECHPARK 70 N.SEMBILAN
BANDAR ENSTEK",2.0,0.57,9785052314,20200204-m-530,475,2.7297298999999997,101.7606156,71760
,P,PU,20200204.0,9:42:47,BANDAR ENSTEK,17:00,DHL Courier,moazrul,EPSOM COLLEGE MALAYSIA SDN BHD,,,9:00,B,EAC,ACA4,KUL,0.0,0.0,REGULAR,D,DOX,PU,1.0,1.0,"PERSIARAN KOLEJ
. 70 N.SEMBILAN
BANDAR ENSTEK",1.0,0.09,9629811424,20200204-m-530,477,2.7444721000000003,101.7686444,71760
4/2/2020 9:50,D,OK,20200204.0,9:47:47,BANDAR ENSTEK,23:59,DHL Courier,moazrul,EPSOM COLLEGE IN MALAYSIA,NORMAL,,,B,EAC,ACA4,KUL,0.0,0.0,,D,DOX,DL,1.0,4.0,"PERSIARAN KOLEJ,
71760 BANDAR ENSTEK
BANDAR ENSTEK",1.0,0.26,9904423546,20200204-m-530,476,2.7444721000000003,101.7686444,71760
,P,PU,20200204.0,10:05:30,KLIA,16:30,DHL Courier,moazrul,SEPANG INTERNATION CIRCUIT,,,10:30,B,EAC,ACA4,KUL,0.0,0.0,REGULAR,D,DOX,PU,1.0,2.0,"JALAN PEKELILING KLIA -
SEPANG 40 SEPANG
KLIA",1.0,0.14,5862358810,20200204-m-530,478,2.7595104,101.7319147,64000
16/1/2020 10:12,D,OK,20200204.0,10:32:08,NILAI,23:59,DHL Courier,moazrul,EVERGREEN FIBREBOARD NILAI SDN BHD,NORMAL,,,B,EAC,ACA4,KUL,0.0,2.0,,P,WPX,DL,2.0,6.0,"LOT 5776, NILAI INDUSTRIAL ESTATE
71800 NILAI NEGERI SEMBILAN 70
NILAI",2.0,10.67,9027243680,20200204-m-530,660,2.8321692,101.8252193,71800
,P,PU,20200204.0,10:38:28,NILAI,19:00,DHL Courier,moazrul,YAMAGATA MALAYSIA SDN BHD,,,17:00,B,EAC,ACA4,KUL,0.0,0.0,REGULAR,P,WPX,PU,1.0,3.0,"LOT PT 1661,
NILAI INDUSTRIAL ESTATE,
NILAI",1.0,0.15,9904642786,20200204-m-530,659,2.8319782000000004,101.8236054,71800
,P,PU,20200204.0,10:51:28,NILAI,18:00,DHL Courier,moazrul,YAMAGATA MALAYSIA SDN BHD,,,17:00,B,EAC,ACA4,KUL,0.0,0.0,REGULAR,N,DOM,PU,1.0,2.0,"LOT PT 1661,
NILAI INDUSTRIAL ESTATE,
NILAI",1.0,0.04,9904645214,20200204-m-530,658,2.8333147999999997,101.813504,71800
