AR dtm,Act Base,Act Ckpt Code,Act Dt,Act Tm,City,Closed,Courier Type,Courier id,Customer Name,Delivery Type,MarkerColor,Open,PUD Cycle,PUD Fac,PUD Rte,PUD Svc Area,Pallets Pcs,Parcel Pcs,Pickup Type,Prod Code,Prod Grp,PuD Type,ShpCnt,Stop Code,Street,Total Pcs,Weight,awb_booking,batchID,id,lat,lgtd,zip
,,ARRVD,20200204.0,8:45:00,,23:59,DHL Courier,msuffian,,,,,B,EAC,ACC4,KUL,0.0,0.0,,,,,0.0,,,,,,20200204-m-640,640,2.701777,101.8952333,
4/2/2020 9:05,D,OK,20200204.0,8:53:31,SEREMBAN,23:59,DHL Courier,msuffian,TOP LAMP SENAWANG SDN. BHD.,NORMAL,,,B,EAC,ACC4,KUL,0.0,1.0,,N,DOM,DL,1.0,16.0,"11-G, 11-1 & 11-2, JLN CEMPAKA 28,
TMN CEMPAKA FASA 4,
SEREMBAN",1.0,4.36,2991148484,20200204-m-640,745,2.7053272999999995,101.9869119,70450
3/2/2020 6:35,D,OK,20200204.0,9:00:34,SEREMBAN,23:59,DHL Courier,msuffian,OPK MARKETING SERVICES SDN BHD.,NORMAL,,,B,EAC,ACC4,KUL,0.0,1.0,,P,WPX,DL,1.0,14.0,"LOT NO.21A,JALAN BUNGA TANJUNG 2,
SENAWANG INDUATRIAL PARK,SEREMBAN,
SEREMBAN",1.0,2.68,2988724690,20200204-m-640,743,2.7079934,101.9984218,70450
4/2/2020 9:50,D,OK,20200204.0,9:07:11,SEREMBAN,23:59,DHL Courier,msuffian,GOLDEN GLOBE CIGARETTE MANUFACTURIN,NORMAL,,,B,EAC,ACC4,KUL,0.0,0.0,,D,DOX,DL,1.0,13.0,"LOT 32 33
SENAWANG INDUSTRIAL PARK,
SEREMBAN",1.0,0.11,2991350924,20200204-m-640,742,2.7080572,102.0020907,70400
4/2/2020 9:50,D,OK,20200204.0,9:13:56,SEREMBAN,23:59,DHL Courier,msuffian,NHK MANUFACTURINGMALAYSIASDN.BHD.,NORMAL,,,B,EAC,ACC4,KUL,0.0,0.0,,P,WPX,DL,1.0,12.0,"LOT44,PERSIARAN BUNGA TANJUNG 1
SENAWANG INDUSTRIAL PARK 70 N.SEMBILAN
SEREMBAN",1.0,0.96,3464253354,20200204-m-640,741,2.7070234,102.0055953,70400
4/2/2020 9:50,D,OK,20200204.0,9:19:55,SEREMBAN,23:59,DHL Courier,msuffian,SENAWANG LAMINATING TECHNOLOGIES,NORMAL,,,B,EAC,ACC4,KUL,0.0,0.0,,D,DOX,DL,1.0,11.0,"LOT 51 PESIARAN BUNGA TANJUNG 1
SENAWANG INSUSTRIAL PARK 70
SEREMBAN",1.0,0.27,9629832660,20200204-m-640,740,2.7062575,102.0067464,70400
4/2/2020 9:05,D,OK,20200204.0,9:26:58,SEREMBAN,23:59,DHL Courier,msuffian,TOTO MALAYSIA SDN BHD.,NORMAL,,,B,EAC,ACC4,KUL,0.0,1.0,,N,DOM,DL,3.0,9.0,"LOT 74-85, P.B.T.1, SENAWANG INDUST

SEREMBAN",3.0,0.8,5585029575,20200204-m-640,738,2.7058998,102.0130951,70400
4/2/2020 9:05,D,OK,20200204.0,9:32:38,SEREMBAN,23:59,DHL Courier,msuffian,NIPPON WIPER BLADE M SDN BHD,NORMAL,,,B,EAC,ACC4,KUL,0.0,1.0,,N,DOM,DL,1.0,8.0,"LOT 72 PERSIARAN BUNGA TANJUNG 1
SENAWANG INDUSTRIAL PARK
SEREMBAN",1.0,5.38,9931291182,20200204-m-640,737,2.7064029,102.0122345,70400
4/2/2020 9:05,D,OK,20200204.0,9:40:03,SEREMBAN,23:59,DHL Courier,msuffian,"INFASTECH MALAYSIA  SDN.BHD.,",NORMAL,,,B,EAC,ACC4,KUL,0.0,1.0,,P,WPX,DL,1.0,10.0,"LOT #63, PERSIARAN BUNGA TANJUNG 1
SENAWANG INDUSTRIAL PARK 70 N.SEMBILAN
SEREMBAN",1.0,0.7,9785029936,20200204-m-640,739,2.7050997000000003,102.0089847,70400
4/2/2020 9:50,D,OK,20200204.0,9:46:20,SEREMBAN,23:59,DHL Courier,msuffian,DAEHYUN ST M SDN.BHD,NORMAL,,,B,EAC,ACC4,KUL,0.0,0.0,,D,DOX,DL,1.0,7.0,"LOT NO.61,PERSIARAN BUNGA TANJUNG 2
SENAWANG IP,70400 SEREMBAN 70 N.SEMBILAN
SEREMBAN",1.0,0.08,3464384733,20200204-m-640,736,2.7035464,102.0077918,70400
